fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2022-07-11,16647,10036,15256,9192,0.602871388238121,0.6025170424750917
2022-07-12,16019,9843,14736,9013,0.6144578313253012,0.6116313789359392
2022-07-13,15422,9249,14244,8566,0.5997276617818701,0.6013760179724796
2022-07-14,15034,8835,13767,8139,0.5876679526406812,0.5911963390716932
2022-07-15,14138,8025,12943,7364,0.567619182345452,0.5689561925365062
2022-07-16,5404,2720,4991,2503,0.5033308660251665,0.5015027048687638
2022-07-17,2200,1077,2027,995,0.48954545454545456,0.4908732116428219
2022-07-18,15683,8762,14220,7934,0.5586941273990945,0.5579465541490858
2022-07-19,14111,8225,12936,7568,0.5828786053433491,0.5850340136054422
2022-07-20,13876,8116,12863,7551,0.5848947823580283,0.5870325740495996
2022-07-21,13970,8052,12861,7406,0.5763779527559055,0.5758494673820076
2022-07-22,12228,6695,11273,6205,0.5475139025188093,0.5504302315266566
2022-07-23,4900,2125,4523,1966,0.4336734693877551,0.4346672562458545
2022-07-24,1935,859,1747,776,0.4439276485788114,0.4441900400686892
2022-07-25,13450,7427,12217,6782,0.5521933085501859,0.5551281001882623
2022-07-26,10670,5977,9744,5451,0.5601686972820994,0.5594211822660099
2022-07-27,9998,5432,9141,4991,0.5433086617323465,0.5460015315610983
2022-07-28,9323,5124,8575,4740,0.5496084951195968,0.5527696793002915
2022-07-29,8016,4180,7424,3910,0.5214570858283433,0.5266702586206896
2022-07-30,2508,836,2331,776,0.3333333333333333,0.3329043329043329
2022-07-31,1228,473,1118,428,0.38517915309446255,0.3828264758497317
2022-08-01,9407,4707,8671,4305,0.5003720633570745,0.4964825279667858
2022-08-02,7670,3780,7050,3478,0.49282920469361147,0.49333333333333335
2022-08-03,7351,3472,6681,3194,0.4723166916065841,0.47807214488848976
2022-08-04,7166,3609,6568,3341,0.5036282444878594,0.5086784409257004
2022-08-05,6439,2837,5882,2651,0.44059636589532536,0.45069704182250936
2022-08-06,2215,731,2022,666,0.33002257336343116,0.3293768545994065
2022-08-07,1009,361,894,330,0.35777998017839446,0.3691275167785235
2022-08-08,7647,3466,6971,3209,0.4532496403818491,0.4603356763735475
2022-08-09,6120,2780,5577,2582,0.4542483660130719,0.46297292451138605
2022-08-10,6086,2689,5584,2513,0.44183371672691424,0.4500358166189112
2022-08-11,5541,2076,5043,1934,0.3746616134271792,0.3835018837993258
2022-08-12,4714,1713,4330,1606,0.36338565973695375,0.37090069284064664
2022-08-13,1580,366,1422,338,0.2316455696202532,0.23769338959212377
2022-08-14,680,224,608,205,0.32941176470588235,0.3371710526315789
2022-08-15,5191,2019,4723,1891,0.3889424003082258,0.40038111369892015
2022-08-16,4292,1649,3907,1568,0.3842031686859273,0.401330944458664
2022-08-17,4281,1683,3890,1556,0.3931324456902593,0.4
2022-08-18,4373,1769,4024,1668,0.40452778412988794,0.4145129224652088
2022-08-19,3859,1238,3501,1177,0.32080849961129826,0.3361896600971151
2022-08-20,1387,325,1271,304,0.2343186733958183,0.23918174665617625
2022-08-21,707,184,641,171,0.26025459688826025,0.2667706708268331
2022-08-22,4708,1596,4268,1496,0.3389974511469839,0.35051546391752575
2022-08-23,4109,1341,3759,1280,0.3263567778048187,0.34051609470603883
2022-08-24,4143,1319,3797,1268,0.3183683321264784,0.3339478535686068
2022-08-25,3851,1388,3543,1310,0.3604258634121008,0.36974315551792264
2022-08-26,3368,1073,3097,1027,0.31858669833729214,0.3316112366806587
2022-08-27,1365,209,1227,196,0.15311355311355312,0.15973920130399347
2022-08-28,707,134,668,123,0.18953323903818953,0.18413173652694612
2022-08-29,4538,1301,4167,1216,0.2866901718818863,0.2918166546676266
2022-08-30,4350,1230,3972,1138,0.2827586206896552,0.2865055387713998
2022-08-31,3734,813,3341,767,0.2177289769683985,0.22957198443579763
2022-09-01,3530,881,3202,831,0.24957507082152977,0.25952529668956903
2022-09-02,3628,881,3292,843,0.2428335170893054,0.2560753341433779
2022-09-03,1660,246,1571,235,0.14819277108433734,0.14958625079567156
2022-09-04,915,125,867,121,0.1366120218579235,0.1395617070357555
2022-09-05,4891,971,4525,902,0.1985279084031895,0.19933701657458563
2022-09-06,4097,810,3748,758,0.19770563827190624,0.2022411953041622
2022-09-07,3972,643,3660,604,0.16188318227593151,0.1650273224043716
2022-09-08,3537,565,3237,536,0.15973989256432006,0.16558541859746678
2022-09-09,3408,552,3137,517,0.1619718309859155,0.16480714058017215
2022-09-10,1754,177,1667,168,0.10091220068415052,0.10077984403119376
2022-09-11,1099,97,1031,92,0.08826205641492266,0.0892337536372454
2022-09-12,4179,729,3834,662,0.17444364680545585,0.17266562336984873
2022-09-13,3484,577,3181,533,0.1656142365097589,0.1675573718956303
2022-09-14,2933,597,2681,564,0.20354585748380497,0.2103692651995524
2022-09-15,1846,184,1668,174,0.09967497291440952,0.10431654676258992
2022-09-16,135,18,121,12,0.13333333333333333,0.09917355371900828
2022-09-17,1156,285,1081,272,0.24653979238754328,0.25161887141535616
2022-09-18,784,259,748,248,0.33035714285714285,0.3315508021390374
2022-09-19,3063,420,2827,389,0.13712047012732614,0.13760169791298196
