,cycleId,latitude_decimal,longitude_decimal,CO
362583,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.54
362585,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.66
362586,fff82999a5da9846,19.398899855555555,-99.02463021666668,4.51
362587,fff82999a5da9846,19.398899855555555,-99.02463021666668,3.1
362588,fff7f9c0878fe660,19.398890875,-99.02462631944444,-0.03
362589,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.48
362590,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.39
362591,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.43
362592,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.65
362593,fff7f9c0878fe660,19.398890875,-99.02462631944444,3.74
362594,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.24
362595,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.6
362596,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.34
362597,fff7f9c0878fe660,19.398890875,-99.02462631944444,3.05
362599,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.47
362600,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.33
362602,fff7f9c0878fe660,19.398890875,-99.02462631944444,3.97
362603,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.63
362604,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.58
362605,fff7f9c0878fe660,19.398890875,-99.02462631944444,0.2
362606,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.55
362607,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.4
362608,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.51
362610,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.5
362611,fff7f9c0878fe660,19.398890875,-99.02462631944444,0.19
362612,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.57
362613,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.35
362614,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.53
362615,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.56
362617,fff7f9c0878fe660,19.398890875,-99.02462631944444,0.14
362618,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.67
362619,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.01
362620,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.61
362621,fff7f9c0878fe660,19.398890875,-99.02462631944444,4.66
362656,fffd2fc2f04eade0,19.39890205833333,-99.024639875,-0.03
362657,fffd2fc2f04eade0,19.39890205833333,-99.024639875,0.12
362658,fffd2fc2f04eade0,19.39890205833333,-99.024639875,4.62
362659,fffd2fc2f04eade0,19.39890205833333,-99.024639875,4.53
362660,fffd2fc2f04eade0,19.39890222777778,-99.02464004444444,-0.03
362661,fffd2fc2f04eade0,19.39890222777778,-99.02464004444444,0.12
362662,fffd2fc2f04eade0,19.39890222777778,-99.02464004444444,4.62
362663,fffd2fc2f04eade0,19.39890222777778,-99.02464004444444,4.53
362668,fffd2fc2f04eade0,19.39890358333333,-99.02464072222224,-0.03
362669,fffd2fc2f04eade0,19.39890358333333,-99.02464072222224,0.12
362670,fffd2fc2f04eade0,19.39890358333333,-99.02464072222224,4.62
362671,fffd2fc2f04eade0,19.39890358333333,-99.02464072222224,4.53
362672,fffd2fc2f04eade0,19.398903752777777,-99.02464072222224,-0.03
362673,fffd2fc2f04eade0,19.398903752777777,-99.02464072222224,0.12
362674,fffd2fc2f04eade0,19.398903752777777,-99.02464072222224,4.62
362675,fffd2fc2f04eade0,19.398903752777777,-99.02464072222224,4.53
362680,fffd2fc2f04eade0,19.398903752777777,-99.02463953611112,-0.03
362681,fffd2fc2f04eade0,19.398903752777777,-99.02463953611112,0.12
362682,fffd2fc2f04eade0,19.398903752777777,-99.02463953611112,4.62
362683,fffd2fc2f04eade0,19.398903752777777,-99.02463953611112,4.53
362684,fffd2fc2f04eade0,19.39890358333333,-99.02463936666668,-0.03
362685,fffd2fc2f04eade0,19.39890358333333,-99.02463936666668,0.12
362686,fffd2fc2f04eade0,19.39890358333333,-99.02463936666668,4.62
362687,fffd2fc2f04eade0,19.39890358333333,-99.02463936666668,4.53
362692,fffe5c78d59d3a64,19.398901380555557,-99.024636825,0.59
362693,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.77
362695,fffe5c78d59d3a64,19.398901380555557,-99.024636825,0.24
362696,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.74
362697,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.43
362698,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.64
362699,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.23
362701,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.49
362702,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.32
362703,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.58
362704,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.59
362705,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.5
362707,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.7
362708,fffe5c78d59d3a64,19.398901380555557,-99.024636825,2.96
362709,fffe5c78d59d3a64,19.398901380555557,-99.024636825,4.56
362712,fffe5c78d59d3a64,19.39890121111111,-99.024636825,0.59
362713,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.77
362715,fffe5c78d59d3a64,19.39890121111111,-99.024636825,0.24
362716,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.74
362717,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.43
362718,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.64
362719,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.23
362721,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.49
362722,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.32
362723,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.58
362724,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.59
362725,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.5
362727,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.7
362728,fffe5c78d59d3a64,19.39890121111111,-99.024636825,2.96
362729,fffe5c78d59d3a64,19.39890121111111,-99.024636825,4.56
